sample,ring,treatment,plant,palmitic.acid,1.Butyne,1.Heptene,n.Octane,n.Nonane,n.Decane,n.Tridecane,1.Hexene,n.Pentadecane,n.Undecane,n.Dodecane,7.Tetradecene,3.Decene,n.Tetracosane,1.Hexadecene,n.Heptadecane,1.Pentene,n.Octadecane,n.Tetradecane,n.Pentacosane,n.Tricosane,n.Hexadecane,n.Heptacosane,n.Heptane,Dodecene,n.Nonacosane,n.Heneicosane,n.Eicosane,nHexacosane,C14_alkene,n.Octacosane,Hex2yn4one,Propene,n.Triacontane
145c,1,elevated,LATR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146c,1,elevated,LYAN,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147c,1,elevated,LYPA,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148c,1,elevated,AMDU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149c,1,elevated,PLRI,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
150c,1,elevated,INSP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151c,1,elevated,LATR,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152c,2,elevated,LYAN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153c,2,elevated,LYPA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154c,2,elevated,AMDU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155b,2,elevated,PLRI,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157c,3,elevated,LATR,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
