plant,ring,treatment,diversity,richness,per_cmpds
LATR,1,elevated,0.54346192,33,0.183333333
LATR,2,elevated,1.340310552,59,0.327777778
LATR,3,elevated,0.87482094,78,0.433333333
LATR,4,ambient,1.36991426,69,0.383333333
LATR,5,ambient,0.788782823,66,0.366666667
LATR,6,ambient,1.399396687,102,0.566666667
INSP,1,elevated,0.66401257,36,0.2
INSP,3,elevated,0.650265832,69,0.383333333
INSP,4,ambient,0.818979175,43,0.238888889
INSP,5,ambient,0.62938555,65,0.361111111
INSP,6,ambient,0.591400143,43,0.238888889
