ring,treatment,plant,"Hexadecanoic acid, methyl ester (Palmitic acid-C16)",Toluene,"Phenol, 4-methyl-",Styrene,Benzyl nitrile,Monobenzone,Phenanthrene,Biphenyl,Phenol,Indole,3-Methylindole,"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",Pyridine,"Spiro[2.4]hepta-4,6-diene",Levoglucosan,Naphthalene,C9_H8,Aniline,Fluorene,3-Phenylpyridine,Ethylbenzene,"Benzene, 1,2,3-trimethyl-","Benzene, 1,2,3-trimethyl-","1-Butyne, 3,3-dimethyl-",Pyrrole,Pyridine 3-methyl
1,elevated,LATR,0.7586801,0.0052204,0.0298655,0.0060213,0.0096942,0.0024687,0.0148123,0.0032214,0.0476283,0.0151736,0.0115006,0.0059851,0.0078277,0,0.0212551,0.0072255,0.0062019,0,0.0115006,0.0062019,0.0008731,0,0,0,0,0
1,elevated,AMDU,0.3745122,0.1101982,0.0455342,0.0113431,0.001331,0.0094571,0.0063586,0.0030715,0.0767885,0.0088913,0.0070592,0.0037721,0.022794,0,0.0095379,0.0018941,0.012852,0.0129059,0.0097804,0.0046612,0.0041762,0.0039068,0.0039068,0.012367,0.010939,0.0086219
1,elevated,PLRI,0.4898359,0.0094873,0.0425384,0.0065741,0.0146177,0.0061874,0.0006883,0.0028875,0.0626474,0.0080694,0.0069608,0.0037898,0.0157521,0.0941001,0.0027585,0.0134834,0.010467,0.0117045,0.0096678,0.0050273,0.0051304,0.0037124,0.0037124,0.0068835,0,0.0124264
1,elevated,LYPA,0.6315237,0.0066806,0.0200417,0.0064718,0.0141962,0.0163883,0.0008403,0.0019676,0.0829853,0.0336639,0.0060021,0.0135177,0.0136221,0,0,0.0074113,0.0091858,0.0044833,0.0153445,0.0023382,0.0009499,0,0,0,0.0118998,0.0075678
1,elevated,LYAN,0.6219635,0.0082928,0.038726,0.0065717,0.0112853,0.0048505,0.0055155,0.0004322,0.0535906,0.0061414,0.0005907,0.0009642,0.0102291,0.0661081,0,0.0129282,0.0078626,0.009838,0.0077256,0.0012596,0.0034423,0.0066695,0.0066695,0.0044789,0,0.0054177
1,elevated,INSP,0.6900309,0.0095333,0.0394195,0.0132407,0.0099116,0.0040252,0.0099873,0.0033972,0.0751317,0.009155,0.0017024,0.0050996,0.0072484,0.0009533,0,0.0126354,0,0,0.0082471,0.009836,0.002179,0.0135434,0.0135434,0,0.003261,0
2,elevated,LATR,0.1810091,0.1843088,0.0178181,0.0209763,0.0115959,0.0030498,0.0066936,0.0034505,0.0641074,0,0,0,0.0513802,0.0006882,0,0.0306867,0.0220605,0.0191379,0.0106531,0,0.0518516,0.0242288,0.0242288,0.017441,0.0200807,0.0145656
2,elevated,AMDU,0.9280073,0.0057797,0.0091173,0.001525,0.0021328,0.0012699,0.0029848,0.0011885,0.0135402,0.0039345,0.0024693,0.0018587,0.0016281,0,0.0048028,0.0038803,0.0008792,0,0.0023309,0.0011695,0.0009931,0,0,0.0004559,0,0
2,elevated,PLRI,0.8433619,0.0107057,0.0123231,0.0030076,0.0035544,0.0031347,0.0054299,0.0081255,0.0225282,0.00801,0.0056609,0.0033811,0.0072398,0,0.0169443,0.0045827,0.0028305,0.0009974,0.0060075,0.002738,0.0009127,0,0,0,0.0011476,0
2,elevated,LYPA,0.8480401,0.0065335,0.0078204,0.0030952,0.0069625,0.0041907,0.0007226,0.0016829,0.0268601,0.0107572,0.0089424,0.0040257,0.0108892,0,0.0030094,0.0058406,0.0036957,0.0018908,0.0080514,0.0046857,0.0016103,0,0,0,0.0048837,0
