Compound,Type,Source,LATR_1,AMDU_1,PLRI_1,LYPA_1,LYAN_1,INSP_1,LATR_2,AMDU_2,PLRI_2,LYPA_2,LYAN_2,LATR_3,AMDU_3,PLRI_3,LYPA_3,LYAN_3,INSP_3,LATR_4,AMDU_4,PLRI_4,LYPA_4,LYAN_4,INSP_4,LATR_5,AMDU_5,PLRI_5,LYPA_5,LYAN_5,INSP_5,LATR_6,AMDU_6,PLRI_6,LYPA_6,LYAN_6,INSP_6
Biphenyl,Aromatic,Aromatic,0.00322138,0.003071539,0.002887454,0.00196764,0.000432245,0.003397191,0.003450486,0.001188501,0.008125542,0.001682881,0.003140812,0.004923545,0.001820728,0.000463572,0.001808244,0.001961424,0.003048243,0.002455066,0.001280474,0.004607753,0.00047666,0.001219208,0.002132893,0.002835891,0.000457343,0.004427736,0.002739336,0.002928652,0.00026004,0.00294562,0.000333537,0.000606484,0.001891734,0.002231781,0.003418445
Fluorene,Aromatic,Aromatic,0.011500627,0.009780425,0.009667814,0.01534446,0.007725648,0.008247079,0.010653141,0.002330872,0.006007509,0.008051431,0.00860632,0.005260517,0.005857248,0.003291361,0.008999934,0.008044904,0.0042289,0.015612458,0.001571925,0.011633759,0.008785507,0.008652447,0.005501966,0.005446878,0.002021791,0.005883757,0.005131689,0.012136755,0,0.007490847,0.000460121,0.000932189,0.007396654,0.011503192,0.003492491
Naphthalene,Aromatic,Aromatic,0.007225525,0.001894115,0.013483378,0.00741127,0.012928236,0.012635434,0.030686703,0.003880264,0.004582651,0.005840588,0.015481484,0.008311992,0.005633951,0.003238382,0.004747672,0.008336053,0.00759914,0.00870299,0.002564134,0.002339823,0.006691939,0.00649589,0.00152441,0.011666861,0,0.001420217,0.008126696,0.007229284,0,0.007081191,0.000540491,0.002470862,0.008753595,0.005508571,0.012464365
"Benzene, 1,2-diethyl-",Aromatic,Aromatic,0,0.004068441,0.005413976,0.001680584,0.002210122,0.019217965,0.008814767,0,0.000866468,0.000930534,0.00459993,0.000891105,0.003521219,0.000705292,0.002138516,0.003539758,0.002404248,0.001705316,0.000990616,0.004607753,0.002280493,0.003611741,0.008774964,0.003348951,0.030675445,0.002935911,0.000392638,0,0.004651578,0.002750545,0,0.010613476,0.002450474,0.002187227,0.002628624
"Phenol, 3,4-dimethyl-",Aromatic,Aromatic,0,0.004822854,0.00492414,0.0104906,0.001130487,0,0.000867335,0,0.002299028,0.002200945,0.001572879,0.00293915,0.009584587,0.001731773,0.008710945,0.011201572,0.003949835,0.007938538,0.000285081,0.00506526,0.005028301,0,0.00614888,0,0.001489153,0.004057763,0.000987987,0.013851731,0.000782362,0.007959025,0.000361667,0.002392244,0.001897056,0.007736301,0
Acetophenone,Aromatic,Aromatic,0.001999062,0.003098482,0.004202276,0,0.001781789,0,0.003582472,0.000746205,0.004236064,0.000956932,0.003462313,0.004698896,0.002301675,0,0.0018165,0.00401479,0.003391706,0.004821927,0.001183324,0.01013052,0,0.001900916,0.003388289,0.003900667,0,0.00622986,0.00399943,0.00440617,0.000452828,0.002555471,0.000196305,0,0.001623007,0.001308286,0.002402373
"Benzene, 1,2,3-trimethyl-",Aromatic,Aromatic,0,0.003906782,0.003712441,0,0.006669483,0.013543369,0.024228826,0,0,0,0.002893504,0.002059277,0.007059615,0.001099328,0,0.010067623,0.001038978,0.003263621,0.000930096,0.005555447,0.003009503,0.002064788,0.011849404,0.006571394,0.030954313,0.001467956,0.002958483,0.003772948,0.007117474,0.005188972,0,0.018756089,0.001269138,0.002458605,0.001184732
Benzofuran,Aromatic,Aromatic,0.00194487,0.004742024,0.006625675,0.00144572,0.004713623,0.001081956,0.014754129,0.000331044,0.001266968,0.001600387,0.006405279,0.001621213,0.002937212,0.000572843,0.001482099,0,0.003327307,0,0.000853649,0.008856036,0.003046888,0.001579727,0,0.006536253,0,0.006611768,0.003214154,0,0.000660188,0,0,0.003403051,0,0.001506756,0.005800249
"Benzene, (1-methylethyl)-",Aromatic,Aromatic,0,0.008702693,0.007914717,0,0.004185541,0,0.015084094,0,0,0,0.006949356,0.001254287,0.003280746,0,0,0.008336053,0.002189583,0.006762458,0.000434788,0.009999804,0.004916145,0,0,0.004076373,0.000920263,0.002852369,0.003542874,0.004749165,0.000587332,0.003960005,0,0.007277812,0.001535205,0,0.002299531
"Benzene, propyl-",Aromatic,Aromatic,0,0.005442551,0.004021811,0,0.002601294,0,0.006505015,0,0,0,0.004179506,0.003014033,0.000599466,0,0,0.003095373,0.001974918,0.00206402,0.000802685,0.006764573,0.00181131,0,0,0.002677755,0.000920263,0.002625612,0.003214154,0.002585656,0.000802537,0.002223845,0,0.002751642,0.001503277,0,0.002147326
"Naphthalene, 1,2-dihydro-4-methyl-",Aromatic,Aromatic,0,0.003556518,0.003119481,0.001670145,0.001187207,0,0.002305038,0,0,0.000966832,0.003041889,0.001222462,0.004775117,0,0,0.007631166,0.00044865,0.003204817,0.000500086,0.002963994,0.000968275,0,0,0.000329273,0,0.000986991,0.002319304,0.00279673,0,0.004330646,0,0.001774528,0.002546258,0.001680924,0
"Benzene, 1,2,3,4-tetramethyl-",Aromatic,Aromatic,0,0.001427996,0.001753097,0,0.000688463,0,0.000471378,0,0,0,0.001622341,0.000247113,0.003916283,0,0,0.003309904,0.000114202,0.001758239,0,0.003058764,0.001869257,0,0,0.000488462,0,0.000842583,0.001159652,0.001699146,0.000648979,0.001258228,0,0.00424539,0.000196889,0,0
"Benzene, 1-ethenyl-3-methyl-",Aromatic,Aromatic,0,0.002802105,0.002101138,0,0.00154513,0,0.005138019,0,0,0,0.002470607,0.004624013,0.00450029,0,0,0.007048869,0.000959552,0.002863754,0,0.004738469,0.002000105,0,0,0.001721916,0,0.001186299,0.003688972,0.003984022,0,0.003452812,0,0,0.001779986,0,0
Benzaldehyde,Aromatic,Aromatic,0,0.001969557,0,0.001273486,0,0,0,0,0,0,0,0.001946953,0,0,0,0,0.001369562,0.001599468,0,0.003300589,0,0,0,0,0.011768216,0.004761905,0.002337567,0.003403568,0.00300391,0,0,0.005166348,0.001652274,0.001405496,0.003393763
m-xylene,Aromatic,Aromatic,0,0.035026317,0.024156644,0,0.018443761,0,0.058450864,0,0,0,0.029676966,0,0,0,0,0.028808419,0.010067787,0.021345847,0,0,0,0,0,0.017605714,0,0,0,0.023772209,0,0.02496949,0,0,0,0,0.012834594
"Benzene, hexyl-",Aromatic,Aromatic,0,0.001166646,0,0,0,0,0,0,0,0,0,0.000921059,0.001176603,0,0,0,0.000433623,0,0.000229339,0.002780991,0,0,0,0.000860958,0,0.000605084,0,0,0,0,0,0.00066601,0,0,0
"Phenol, 2,4-bis(1,1-dimethylethyl)-",Aromatic,Aromatic,0,0,0,0.000876826,0,0.004055445,0,0,0,0,0,0.002040557,0.000606337,0,0,0,0,0,0,0,0,0,0.007045591,0,0.006135089,0,0,0,0.002118429,0,0,0.00097936,0,0,0
"Benzene, 2-propenyl-",Aromatic,Aromatic,0,0,0,0,0,0,0,0,0,0,0,0.000411855,0.000549654,0,0,0.000649722,0,0,0,0,0.000304689,0,0,0,0,0,0.000346983,0,0.000161404,0.000528651,0,0.000377368,0,0,0
"Benzene, butyl-",Aromatic,Aromatic,0,0,0,0,0,0,0,0,0,0,0,0,0.003297922,0,0,0.004643059,0,0,0.000826575,0,0,0,0,0.003363008,0,0.003329753,0,0,0,0.003979513,0,0,0,0,0
"Benzene, (1,3-dimethylbutyl)-",Aromatic,Aromatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270281,0,0,0,0,0.000864802,0,0,0
"Phenol, 3-methyl-",Aromatic,Aromatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001833697,0,0,0,0,0
"Oxirane, ethenyl-",Aromatic,Aromatic,0,0.000237371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2H-1-Benzopyran-2-one,Aromatic,Aromatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethylphenol,Aromatic,Lignin,0.004317251,0.004742024,0.002861673,0.005584548,0.00195586,0,0,0.001017552,0,0.000953633,0.003017158,0,0.007781036,0,0,0.026816348,0.001343803,0,0.000235709,0.002660079,0.002261801,0,0,0.001816797,0,0.000424872,0,0.003561874,0,0.006905625,0,0.000701949,0.001825218,0.002766437,0
"Phenol, 2-methoxy- (Guaiacol)",Aromatic,Lignin,0.001005552,0.000757107,0,0.002546972,0.00053395,0.001649416,0,0,0,0,0.000783967,0.00079563,0.001940965,0.000149668,0.00070183,0,0.00046797,0.001631811,0,0.000934622,0.000861727,0,0.002901503,0,0.003402186,0.001071727,0,0.001445857,0,0.001244573,0,0,0.00051883,0.001182723,0
"Phenol, 2,6-dimethoxy- (Syringol)",Aromatic,Lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000425997,0,0,0,0,0.000228049,0,0.006789388,0,0,0.000385488,0,0,0.000344105,9.25E-05,0,0.000339182,0,0,0
"Ethanone, 1-(4-hydroxy-3-methoxyphenyl)-  (Acetovanillone)",Aromatic,Lignin,0,0,0,0,0,0,0,0,0,0,0,0,0.000956741,0,0,0.000547054,0,0,0,0,0,0,0,0,0,0,0,0,0.003844557,0.001269933,0,0.000878279,0,0,0
"Phenol, 2-methoxy-4-(1Z)-1-propen-1-yl- (cis-Isoeugenol)",Aromatic,Lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002959148,0,0.000964882,0,0,0,0.000802537,0,0,0.001920534,0,0,0
"2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)- (Guaiacylacetone)",Aromatic,Lignin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001095269,0,0,0,0,0,0,0.000296513,0,0.000700826,0,0,0
"Phenol, 2-Methoxy-4-vinyl- (Vinylguaiacol)",Aromatic,Lignin,0,0,0.00060585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000787566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
