Sample,depth,ring,treatment,plant,bulkdensity,drywt,lf_final,hf_final,lf_perC,lf_isoC,lf_perN,lf_isoN,hf_perC,hf_isoC,hf_perN,hf_isoN,soc_perC,soc_isoC,soc_perN
1,80,1,elevated,LATR,1301132.155,25.021,0.112,24.848,9.424988379,-22.00584864,0.89346505,4.693263681,0.2,-24.96,0.0174279,8.5171861,0.125321289,-26.25001982,0.0179
2,80,1,elevated,AMDU,1301132.155,25.056,0.096,25.038,,,,,0.11,-26.47,0.0078585,4.1414968,0.107008551,-25.31938984,0.0190
3,80,1,elevated,PLRI,1301132.155,25.085,0.138,24.966,11.08279564,-20.07954396,1.015953968,5.329856654,0.13,-27.03,0.0112801,8.1631594,0.095959218,-23.96303522,
4,80,1,elevated,LYPA,1301132.155,,,,,,,,,,,,0.090718632,-26.16775418,
5,80,1,elevated,LYAN,1301132.155,25.01,0.041,24.93,8.200348038,-21.54620564,0.743459356,6.515587336,0.11,-28.24,0.0078842,5.7551764,0.119350182,-23.86431646,
6,80,1,elevated,INSP,1301132.155,25.002,0.024,24.94,18.35554722,-20.90156111,1.117391608,4.433948652,0.17,-25.73,0.0108278,7.1321696,0.077935045,-27.28039687,
7,80,2,elevated,LATR,1301132.155,25.057,0.022,24.76,14.23434561,-22.53033753,1.09100102,4.089212201,0.17,-26.18,0.0145043,6.5685351,0.097052052,-25.53225217,0.0178
8,80,2,elevated,AMDU,1301132.155,25.068,0.036,24.895,11.78492445,-22.73917947,1.042383769,4.827497343,0.15,-28.2,0.0111284,6.3231235,0.092655973,-28.26861279,0.0149
9,80,2,elevated,PLRI,1301132.155,25.032,0.064,24.992,6.572649585,-20.81764288,0.600362264,4.645468362,0.13,-25.64,0.01334,6.03123,0.086621646,-27.69069672,
10,80,2,elevated,LYPA,1301132.155,25.014,0.083,24.549,12.27203715,-23.75191985,1.156416934,4.907834156,0.19,-26.89,0.01811,7.08597,0.164641436,-24.35071202,
11,80,2,elevated,LYAN,1301132.155,25.012,0.151,24.948,10.409118,-23.15590974,0.986142493,5.379685817,0.13,-27.6,0.01058,4.99282,0.093966462,-25.73894457,
12,80,2,elevated,INSP,1301132.155,,,,,,,,,,,,,,
13,80,3,elevated,LATR,1301132.155,24.972,0.116,24.585,18.44355451,-21.71213485,1.362165876,4.890546487,0.21,-24.84,0.0211214,9.0323952,0.172714199,-25.70501,0.0246
14,80,3,elevated,AMDU,1301132.155,25.002,0.055,24.958,19.47356397,-19.62657628,1.174413206,4.301748833,0.12,-27.77,0.0077474,7.1401656,0.11948725,-25.79036059,0.0175
15,80,3,elevated,PLRI,1301132.155,25.014,0.246,24.838,13.75373081,-23.46297415,1.323736117,4.284461164,0.14,-25.89,0.0144731,8.1820002,0.13596446,-24.74250209,
16,80,3,elevated,LYPA,1301132.155,25.073,0.078,24.695,14.740857,-21.61677324,1.000612499,3.38143471,0.15,-24.48,0.0166897,8.7291145,0.176460278,-25.69061351,
17,80,3,elevated,LYAN,1301132.155,25,0.134,24.778,16.06760635,-23.24459605,1.216618909,4.820378891,0.13,-26.58,0.0103939,8.1840154,0.308347188,-24.38053331,
18,80,3,elevated,INSP,1301132.155,25.011,0.025,24.646,14.83846961,-20.65743536,1.258467804,5.200707601,0.22,-25.96,0.0195114,9.1815166,0.195717731,-24.4710255,
19,80,4,ambient,LATR,1301132.155,25.012,0.096,24.737,17.85101933,-22.35582577,1.630001231,3.406857752,0.13,-27.57,0.0111997,7.7688936,0.099547966,-29.26711191,0.0157
20,80,4,ambient,AMDU,1301132.155,25.008,0.225,24.83,15.90769926,-22.76492711,1.69597833,4.512251621,0.13,-25.39,0.0112762,8.3613489,0.118665528,-27.34230569,0.0206
21,80,4,ambient,PLRI,1301132.155,25.006,0.043,24.776,6.253831715,-21.7502795,0.715423898,3.935657027,0.13,-26.78,0.0108879,6.1292519,0.101878782,-24.92912946,
22,80,4,ambient,LYPA,1301132.155,25.031,0.067,24.858,17.09623531,-17.38271742,1.306887432,5.052237035,0.13,-27.24,0.0118225,5.8198742,0.158849812,-24.00406148,
23,80,4,ambient,LYAN,1301132.155,25.06,0.393,24.662,14.95047559,-23.80150789,1.176531845,4.826480421,0.17,-25.44,0.0169403,9.1213844,0.210895127,-24.18969042,
24,80,4,ambient,INSP,1301132.155,25.061,0.398,24.807,10.71038092,-22.22136589,1.078231412,5.716286894,0.14,-27.5,0.0112308,8.9570465,0.111335782,-26.13417921,
25,80,5,ambient,LATR,1301132.155,25,0.025,24.79,16.71673997,-21.08370179,1.267351342,3.91328475,0.14,-26.04,0.0128195,7.6594823,0.118585129,-24.50556729,0.0172
26,80,5,ambient,AMDU,1301132.155,25.002,0.122,24.855,14.98138535,-22.44641931,1.166487605,4.422762513,0.13,-27.98,0.0105004,7.1241236,0.116664947,-27.57818777,0.0189
27,80,5,ambient,PLRI,1301132.155,25.053,0.128,24.829,11.05588136,-21.62154132,0.871871945,3.112967386,0.12,-25.88,0.0104529,4.9685741,0.087957818,-26.74542147,
28,80,5,ambient,LYPA,1301132.155,25.011,0.059,24.571,15.85281617,-21.06558309,1.447414436,4.204124352,0.2,-24.8,0.0178569,7.4870786,0.123021859,-24.18866485,
29,80,5,ambient,LYAN,1301132.155,25.065,0.055,24.553,13.36959238,-20.62882688,1.27587106,3.54414218,0.16,-26.52,0.0146722,8.3763184,0.133650654,-25.54037172,
30,80,5,ambient,INSP,1301132.155,25.019,0.078,24.619,8.516999531,-18.79120851,0.647275596,5.063423173,0.16,-26.38,0.0134789,8.030503,0.089185749,-28.19866019,
31,80,6,ambient,LATR,1301132.155,25.06,0.069,24.636,10.10628162,-22.59709066,0.892882935,4.296664225,0.16,-24.69,0.013228,7.5344644,0.135428281,-25.42037953,0.0175
32,80,6,ambient,AMDU,1301132.155,25.032,0.06,24.735,5.849693172,-24.00653537,0.426307201,4.139041364,0.13,-26.1,0.0084603,6.7702425,0.091010953,-28.86220674,0.0152
33,80,6,ambient,PLRI,1301132.155,25.05,0.131,24.481,8.370095424,-17.24921116,0.662614831,4.117686009,0.19,-26.91,0.0158247,8.4385,0.12272715,-23.30769656,
34,80,6,ambient,LYPA,1301132.155,25.002,0.031,24.8,18.92882829,-21.96198229,1.552117852,3.741424986,0.16,-25.64,0.0139968,5.9078098,0.108831058,-25.55575533,
35,80,6,ambient,LYAN,1301132.155,25.046,0.102,24.897,16.16355696,-22.89080445,1.520910311,5.025797071,0.15,-26.87,0.0157047,3.863545,0.105129927,-25.18347188,
36,80,6,ambient,INSP,1301132.155,25.006,0.1,24.909,18.39821353,-20.66601791,1.390897451,2.889244616,0.16,-26.36,0.0134999,5.184782,0.146801339,-25.08194002,
37,60,1,elevated,LATR,1576997.704,25,0.041,24.767,16.72222191,-21.45084402,1.310095177,4.706483663,0.21,-25.95,0.0129877,7.9215974,0.171695173,-25.43355504,0.0208
38,60,1,elevated,AMDU,1576997.704,25.054,0.033,24.972,21.81425865,-22.10216387,1.19658033,4.284461164,0.14,-26.89,0.0104951,6.4348677,0.133997239,-26.13689933,0.0180
39,60,1,elevated,PLRI,1576997.704,25.007,0.044,25.049,17.96296375,-21.81703263,1.578879509,6.34881218,0.14,-24.01,0.0158469,8.3897548,0.120406254,-25.01175322,
40,60,1,elevated,LYPA,1576997.704,25.045,0.053,24.615,19.73323793,-22.76111265,1.57318925,5.469174925,0.14,-26.91,0.0141085,8.3308543,0.177655844,-25.6157898,
41,60,1,elevated,LYAN,1576997.704,25.021,0.046,24.716,19.29511262,-20.75565783,1.635565298,5.5149364,0.15,-25.29,0.0157771,4.417018,0.158645751,-25.24517753,
42,60,1,elevated,INSP,1576997.704,25.005,0.025,24.947,20.35735013,-23.36379807,1.205532018,2.188585577,0.09,-26.98,0.0098702,4.1412702,0.101741944,-27.72787027,
43,60,2,elevated,LATR,1576997.704,25.03,0.03,24.729,20.92191839,-20.8538803,1.525586095,3.91938628,0.11,-25.3,0.0112347,7.7531839,0.144706658,-25.33834249,0.0196
44,60,2,elevated,AMDU,1576997.704,25.005,0.057,24.689,14.78931915,-22.05543668,1.14597501,4.758346669,0.13,-25.44,0.0166663,8.0977607,0.136755388,-27.78417877,0.0197
45,60,2,elevated,PLRI,1576997.704,25.022,0.022,25,,,,,0.09,-27.23,0.0085901,7.0660453,0.11265291,-27.16785669,
46,60,2,elevated,LYPA,1576997.704,25.041,0.178,24.561,19.21849498,-24.26019727,1.677967239,5.612560882,0.19,-26.43,0.0234244,9.568761,0.281863789,-25.84716653,
47,60,2,elevated,LYAN,1576997.704,25.003,0.045,24.821,17.44573162,-22.50935798,1.470508452,4.883428036,0.14,-24.35,0.0168384,8.4796162,0.157166641,-26.53515396,
48,60,2,elevated,INSP,1576997.704,,,,,,,,,,,,,,
49,60,3,elevated,LATR,1576997.704,25.004,0.064,24.93,6.159856066,-21.92479126,0.554701621,4.945460258,0.11,-25.76,0.0086884,6.5461575,0.202524845,-25.5605051,0.0267
50,60,3,elevated,AMDU,1576997.704,25.018,0.061,24.646,14.53423395,-22.40159935,1.225241084,5.628831629,0.15,-26.19,0.0175534,8.2811319,0.115993959,-25.38338929,0.0167
51,60,3,elevated,PLRI,1576997.704,25.034,0.058,24.685,14.66099163,-20.21686469,0.974788842,5.305450534,0.18,-24.75,0.0184565,7.5909708,0.166333691,-25.36291347,
52,60,3,elevated,LYPA,1576997.704,25.037,0.127,24.456,20.38055195,-22.14316937,2.059064052,3.842100233,0.14,-24.81,0.0202368,7.8085983,0.137657285,-25.04656211,
53,60,3,elevated,LYAN,1576997.704,25.004,0.237,24.877,5.907621899,-23.89114781,0.621666463,3.225845693,0.1,-25.34,0.011689,5.7008361,0.216376288,-25.74888261,
54,60,3,elevated,INSP,1576997.704,25.037,0.253,24.818,10.93827835,-19.95080578,0.960374716,5.247485998,0.09,-27.1,0.0111841,8.2106045,0.149935409,-24.7128063,
55,60,4,ambient,LATR,1576997.704,25.052,0.067,24.775,14.72202115,-22.46453802,1.41536836,4.281410399,0.13,-25.97,0.0153956,7.5637674,0.127008851,-26.23313567,0.0164
56,60,4,ambient,AMDU,1576997.704,25.052,0.056,24.664,21.25776042,-22.90129422,2.256259253,5.26680751,0.16,-24.07,0.0216691,8.1390696,0.222217781,-24.91244551,0.0328
57,60,4,ambient,PLRI,1576997.704,25.048,0.078,24.843,13.05976722,-19.18600561,0.965429546,5.386804268,0.11,-24.36,0.0121012,6.5763836,0.111847464,-24.86739871,
58,60,4,ambient,LYPA,1576997.704,25.05,0.08,24.762,13.13477335,-22.54273454,1.132375521,4.867157289,0.12,-26.4,0.0152197,7.802553,0.124036563,-26.68053226,
59,60,4,ambient,LYAN,1576997.704,25.015,0.041,24.866,10.43636865,-22.30814496,0.797577334,3.693629667,0.11,-28.24,0.0109017,6.5038411,0.098173246,-25.77038222,
60,60,5,ambient,INSP,1576997.704,25.041,0.034,24.796,17.98542634,-20.99406187,1.473181335,5.732557641,0.13,-25.35,0.0134759,6.9270056,0.120695298,-26.50136887,
61,60,5,ambient,LATR,1576997.704,25.03,0.077,24.679,13.10450486,-21.64252087,1.13463318,4.77156665,0.12,-24.57,0.0159267,7.9113668,0.134744219,-23.78307915,0.0188
62,60,5,ambient,AMDU,1576997.704,25.011,0.045,24.75,13.24653109,-18.54803639,1.009792006,3.280759464,0.12,-25.71,0.0119378,5.9950362,0.13101017,-25.50037424,0.0218
63,60,5,ambient,PLRI,1576997.704,25.065,0.092,24.983,10.77652426,-20.66506429,1.10114576,3.817694112,0.09,-28.73,0.0089727,5.9426444,0.147912529,-22.62827532,
64,60,5,ambient,LYPA,1576997.704,25.017,0.027,25.081,15.17641016,-22.76206626,1.57773692,2.776366309,0.09,-26.78,0.0123302,6.3506958,0.154890566,-24.38361827,
65,60,5,ambient,LYAN,1576997.704,25.006,0.093,24.944,17.8226062,-22.02396734,1.689220252,4.575300766,0.12,-24.65,0.0152571,7.0338042,0.162468269,-24.77952163,
66,60,5,ambient,INSP,1576997.704,25.06,0.026,24.935,8.891360981,-23.63176421,0.979158327,2.723486382,,,,,0.087402493,-30.16586395,
67,60,6,ambient,LATR,1576997.704,25.013,0.37,24.8,9.967933492,-22.26523224,0.990673914,3.454653071,0.09,-29.81,0.0079493,5.9144334,0.128826003,-24.22217196,0.0199
68,60,6,ambient,AMDU,1576997.704,25.055,0.199,25.106,11.23501388,-22.68673058,0.704605009,4.702415976,0.09,-27.51,0.0084415,5.5345929,0.08989997,-28.77248979,
69,60,6,ambient,PLRI,1576997.704,25.046,0.077,24.642,17.45141254,-16.61124193,1.069631062,4.666823717,0.16,-23.42,0.0174989,7.5416016,0.163984669,-20.84928101,
70,60,6,ambient,LYPA,1576997.704,25.055,0.008,24.901,7.658374625,-23.43818013,0.451184888,2.799755508,0.08,-28.26,0.0089718,4.9764188,0.098545954,-30.41883077,
71,60,6,ambient,LYAN,1576997.704,25.038,0.091,24.688,15.68409494,-22.54082731,1.502686997,2.0818088,0.11,-27.06,0.0136383,6.486713,0.085521689,-26.28703935,
72,60,6,ambient,INSP,1576997.704,25.007,0.149,24.829,13.33393569,-23.50588688,0.924713557,4.41462714,0.1,-26.79,0.0111856,6.4101404,0.095490031,-27.86653951,
73,40,1,elevated,LATR,1292567.213,25.001,0.06,24.796,16.03092697,-23.65369739,0.914181063,5.026813993,0.11,-27.67,0.0137734,8.4816313,0.23816478,-27.11718544,0.0247
