"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"treatment",0.183695117400315,0.183695117400315,1,4.13588872276976,0.0901151569965711,0.778517533306298
"plant",0.52768903492382,0.52768903492382,1,24.521920241807,0.258867959587083,0.615446442339796
"depth",1.94983150570064,1.94983150570064,1,25.0694055300063,0.956527177966096,0.337407680310421
"fraction",160.725456634435,160.725456634435,1,23.6348946360781,78.846950114597,5.41672423152386e-09
"treatment:plant",1.13365201972883,1.13365201972883,1,24.521920258844,0.556134703976449,0.462911045105714
"treatment:depth",1.58918155630033,1.58918155630033,1,25.0694055714821,0.77960344003032,0.385651231365867
"treatment:fraction",1.26621918440403,1.26621918440403,1,23.6348946850283,0.621168064831992,0.438447393411618
"plant:depth",1.86575156029004,1.86575156029004,1,25.0694055808361,0.915280150891185,0.347853014374584
"plant:fraction",5.80038147371497,5.80038147371497,1,23.634894662143,2.84548819011196,0.104787389813585
"depth:fraction",10.3431897891621,10.3431897891621,1,23.6348946755776,5.07404978905595,0.0338551933122951
"treatment:plant:depth",1.95851280321847,1.95851280321847,1,25.0694055977295,0.960785954681688,0.336354270847967
"treatment:plant:fraction",0.0259781178977171,0.0259781178977171,1,23.6348946791852,0.0127440631300318,0.911071466085277
"treatment:depth:fraction",0.294277334584224,0.294277334584224,1,23.6348946542348,0.144363380921002,0.707374109591183
"plant:depth:fraction",0.158063100536861,0.158063100536861,1,23.6348946615161,0.0775408803555905,0.783079777235526
"treatment:plant:depth:fraction",2.52919319261505,2.52919319261505,1,23.6348948017922,1.24074414634808,0.276527686887544
