"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"treatment",7.61701557177904,7.61701557177904,1,3.67857228890766,5.43896180303372,0.0857940958154001
"plant",0.412901663468644,0.412901663468644,1,24.2717316822933,0.294834158451185,0.592091198070264
"depth",2.74718085470202,2.74718085470202,1,24.8932730716447,1.96163597066928,0.173680773685342
"fraction",162.722930853772,162.722930853772,1,23.2503420150345,116.192988848604,1.60793620037076e-10
"treatment:plant",9.66201881140261,9.66201881140261,1,24.2717321245529,6.89920491302582,0.0147090994389589
"treatment:depth",0.13890544763447,0.13890544763447,1,24.8932732787305,0.0991860154147918,0.755433430248287
"treatment:fraction",1.89254932422724,1.89254932422724,1,23.2503418621507,1.35138275454846,0.256830351087554
"plant:depth",4.53543523731176,4.53543523731176,1,24.8932732312514,3.23854648627302,0.0840581789981386
"plant:fraction",1.80357970534284,1.80357970534284,1,23.2503414133389,1.28785362635085,0.268008406286621
"depth:fraction",4.07812934814846,4.07812934814846,1,23.2503417200938,2.91200530488475,0.101246396883295
"treatment:plant:depth",5.54014008251968,5.54014008251968,1,24.8932734549522,3.95596017998462,0.057803147603366
"treatment:plant:fraction",1.95347719133004,1.95347719133004,1,23.2503416799746,1.39488855269074,0.249522204465965
"treatment:depth:fraction",2.06557686116608,2.06557686116608,1,23.2503417068076,1.47493379043843,0.236760091300236
"plant:depth:fraction",2.11120374015074,2.11120374015074,1,23.2503411927775,1.50751385406711,0.231804600961158
"treatment:plant:depth:fraction",4.53507243673756,4.53507243673756,1,23.2503411405114,3.23828742700675,0.0849283423212037
