"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"treatment",1.63557905186263,1.63557905186263,1,26.9999999967046,8.31206264344261,0.00763761178506408
"plant",0.3150237360661,0.3150237360661,1,27.0000000002507,1.60096023813142,0.216578230729058
"depth",2.20637418642234,2.20637418642234,1,26.9999999997704,11.2128609323602,0.0024056046748539
"fraction",12.0645661980814,12.0645661980814,1,26.9999999961596,61.3124935112189,2.02865716995531e-08
"treatment:plant",0.217793255013385,0.217793255013385,1,27.0000000007106,1.10683196689815,0.302096730793881
"treatment:depth",0.0668326625686927,0.0668326625686927,1,26.9999999995656,0.339645630253336,0.564869922764885
"treatment:fraction",0.206310043016241,0.206310043016241,1,26.9999999971847,1.04847393317334,0.31494596214228
"plant:depth",0.00609158531464611,0.00609158531464611,1,26.9999999985171,0.0309576224246398,0.861647976128069
"plant:fraction",0.055741807352151,0.055741807352151,1,27.0000000001337,0.283281565658438,0.598911389969612
"depth:fraction",0.245072709595377,0.245072709595377,1,26.9999999995714,1.245466987386,0.27425418212747
"treatment:plant:depth",0.528677097637201,0.528677097637201,1,26.9999999995656,2.68675314024683,0.112787716351352
"treatment:plant:fraction",0.0261091898002654,0.0261091898002654,1,26.9999999994689,0.132687699162074,0.718498746993817
"treatment:depth:fraction",0.195127806016505,0.195127806016505,1,26.999999999469,0.991645463568174,0.328181914981238
"plant:depth:fraction",0.0646215765882512,0.0646215765882512,1,26.9999999995626,0.328408823840013,0.571339906521859
"treatment:plant:depth:fraction",0.124163770767138,0.124163770767138,1,26.9999999994686,0.63100407130256,0.433914187447588
