"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"treatment",1.39332145831559,1.39332145831559,1,27.9999999984407,6.89175657824235,0.0138726185988534
"plant",0.391042931726413,0.391042931726413,1,27.9999999992332,1.93420741568043,0.175253988069012
"depth",1.04874726450769,1.04874726450769,1,27.9999999972768,5.1873965020407,0.0305863526363918
"fraction",22.8762486811531,22.8762486811531,1,27.9999999963078,113.152306951792,2.41858297996432e-11
"treatment:plant",0.147910770102424,0.147910770102424,1,27.9999999997101,0.731607926342141,0.399622678683737
"treatment:depth",0.0281298836433886,0.0281298836433886,1,27.9999999996283,0.13913825089501,0.71194824896927
"treatment:fraction",0.387679059812359,0.387679059812359,1,27.9999999992303,1.91756876689361,0.177060948265193
"plant:depth",0.00353236576979961,0.00353236576979961,1,28.0000000005152,0.0174720663960811,0.895785685208744
"plant:fraction",0.211897397047826,0.211897397047826,1,28.0000000003239,1.04810363129139,0.314708348180133
"depth:fraction",0.0405055934064143,0.0405055934064143,1,27.9999999986468,0.200351963395254,0.657880795308035
"treatment:plant:depth",0.824379603099257,0.824379603099257,1,28.000000000017,4.0776114648349,0.0531207327236947
"treatment:plant:fraction",0.0257355394836203,0.0257355394836203,1,27.9999999995217,0.127295156815624,0.723927985364776
"treatment:depth:fraction",0.164378925462246,0.164378925462246,1,27.9999999993303,0.81306401628837,0.374907259787173
"plant:depth:fraction",0.0695818001372507,0.0695818001372507,1,27.9999999993332,0.34417099224293,0.562132014774996
"treatment:plant:depth:fraction",0.0282417321267744,0.0282417321267744,1,27.9999999994272,0.139691484692236,0.71140310564016
