"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",8.69728782113846,0.828398411610554,26.984576553824,6.99750922140498,10.397066420872
"2","elevated","LATR","hf","0",7.22424595291454,0.828398411610557,26.9845765538237,5.52446735318104,8.92402455264803
"3","ambient","LYAN","hf","0",8.31095287682735,1.04005452736689,26.9987248342905,6.17693254266153,10.4449732109932
"4","elevated","LYAN","hf","0",9.256900234343,0.828398411610556,26.9845765538236,7.5571216346095,10.9566788340765
"5","ambient","LATR","lf","0",13.2943403583796,0.828398411610558,26.9845765538241,11.5945617586461,14.9941189581131
"6","elevated","LATR","lf","0",13.7441591445817,0.828398411610556,26.9845765538236,12.0443805448482,15.4439377443152
"7","ambient","LYAN","lf","0",12.5468539231258,0.828398411610556,26.9845765538237,10.8470753233923,14.2466325228593
"8","elevated","LYAN","lf","0",13.6409294505433,0.828398411610557,26.9845765538238,11.9411508508098,15.3407080502768
"9","ambient","LATR","hf","20",8.85754133801081,0.828398411610556,26.9845765538237,7.15776273827732,10.5573199377443
"10","elevated","LATR","hf","20",8.79507666984101,0.828398411610556,26.9845765538237,7.09529807010752,10.4948552695745
"11","ambient","LYAN","hf","20",9.72635212584914,1.03767080831558,26.9979735408143,7.59722001752921,11.8554842341691
"12","elevated","LYAN","hf","20",8.36793156214217,1.03851447361403,26.9982505539828,6.23706941263318,10.4987937116512
"13","ambient","LATR","lf","20",13.0288477588681,0.828398411610555,26.9845765538237,11.3290691591346,14.7286263586016
"14","elevated","LATR","lf","20",12.2407210559881,0.828398411610554,26.984576553824,10.5409424562546,13.9404996557216
"15","ambient","LYAN","lf","20",11.0679228285555,1.03767080831557,26.9979735408142,8.93879072023557,13.1970549368754
"16","elevated","LYAN","lf","20",11.1588711794217,1.03851447361403,26.9982505539831,9.02800902991273,13.2897333289307
