"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",-26.3166666666664,0.683781033172879,26.9996033190224,-27.719670421627,-24.9136629117059
"2","elevated","LATR","hf","0",-27.32,0.683781033172883,26.9996033190236,-28.7230037549606,-25.9169962450395
"3","ambient","LYAN","hf","0",-24.9940446703123,0.859740906772467,26.9999714991823,-26.758087386224,-23.2300019544006
"4","elevated","LYAN","hf","0",-25.9833333333333,0.683781033172883,26.9996033190234,-27.3863370882939,-24.5803295783728
"5","ambient","LATR","lf","0",-21.9077580366667,0.683781033172885,26.9996033190233,-23.3107617916273,-20.5047542817062
"6","elevated","LATR","lf","0",-23.3272916066667,0.683781033172882,26.9996033190234,-24.7302953616272,-21.9242878517061
"7","ambient","LYAN","lf","0",-22.7753553666667,0.683781033172884,26.9996033190234,-24.1783591216272,-21.3723516117061
"8","elevated","LYAN","lf","0",-23.2720666066667,0.683781033172884,26.9996033190234,-24.6750703616272,-21.8690628517061
"9","ambient","LATR","hf","20",-24.4866666666667,0.683781033172883,26.9996033190234,-25.8896704216272,-23.0836629117061
"10","elevated","LATR","hf","20",-27.15,0.683781033172883,26.9996033190235,-28.5530037549606,-25.7469962450394
"11","ambient","LYAN","hf","20",-28.1722539604933,0.857275674738433,26.9999510623625,-29.9312385001356,-26.4132694208509
"12","elevated","LYAN","hf","20",-25.2541406209901,0.858106023913745,26.9999585181942,-27.0148288738043,-23.4934523681759
"13","ambient","LATR","lf","20",-20.1559331233333,0.683781033172883,26.9996033190233,-21.5589368782939,-18.7529293683728
"14","elevated","LATR","lf","20",-22.3757881966667,0.683781033172882,26.9996033190235,-23.7787919516272,-20.9727844417061
"15","ambient","LYAN","lf","20",-21.5833891154933,0.857275674738433,26.9999510623625,-23.3423736551356,-19.8244045758509
"16","elevated","LYAN","lf","20",-22.6014471859901,0.858106023913743,26.9999585181944,-24.3621354388043,-20.8407589331759
