"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",9.46267240000003,0.520779570413524,23.4252736513241,8.38643897339746,10.5389058266026
"2","elevated","LATR","hf","0",7.43786723333332,0.520779570413524,23.4252736513239,6.36163380673075,8.51410065993589
"3","ambient","LYAN","hf","0",9.29633985733706,0.632814948605052,26.5903140859507,7.99697412215502,10.5957055925191
"4","elevated","LYAN","hf","0",8.49326593333333,0.520779570413523,23.425273651324,7.41703250673076,9.5694993599359
"5","ambient","LATR","lf","0",5.69830380833334,0.520779570413524,23.4252736513239,4.62207038173078,6.77453723493591
"6","elevated","LATR","lf","0",5.32080498199999,0.520779570413524,23.425273651324,4.24457155539742,6.39703840860256
"7","ambient","LYAN","lf","0",5.89349171100001,0.520779570413524,23.425273651324,4.81725828439744,6.96972513760258
"8","elevated","LYAN","lf","0",5.458385344,0.520779570413523,23.4252736513241,4.38215191739743,6.53461877060256
"9","ambient","LATR","hf","20",8.05356153333335,0.520779570413524,23.4252736513241,6.97732810673078,9.12979495993591
"10","elevated","LATR","hf","20",7.63988479999999,0.520779570413524,23.425273651324,6.56365137339743,8.71611822660256
"11","ambient","LYAN","hf","20",7.40258100684061,0.633895715562971,26.5228612331766,6.10083872720238,8.70432328647883
"12","elevated","LYAN","hf","20",9.42546696666666,0.520779570413524,23.425273651324,8.34923354006409,10.5017003932692
"13","ambient","LATR","lf","20",4.99786388533334,0.520779570413524,23.425273651324,3.92163045873078,6.07409731193591
"14","elevated","LATR","lf","20",5.96813351533333,0.520779570413524,23.425273651324,4.89190008873076,7.0443669419359
"15","ambient","LYAN","lf","20",5.00427636684061,0.633895715562971,26.5228612331765,3.70253408720238,6.30601864647883
"16","elevated","LYAN","lf","20",5.44339077246403,0.632039993512333,26.6406379245763,4.14573280146032,6.74104874346774
