"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",5.72615200146576,0.256106581140047,27.0000000000005,5.20066470281118,6.25163930012034
"2","elevated","LATR","hf","0",5.43490598015655,0.256106581140045,26.9999999999998,4.90941868150197,5.96039327881113
"3","ambient","LYAN","hf","0",5.95183916125963,0.322100331034621,27,5.2909438726744,6.61273444984487
"4","elevated","LYAN","hf","0",5.61736351238982,0.256106581140046,27.0000000000001,5.09187621373524,6.1428508110444
"5","ambient","LATR","lf","0",4.75191446265271,0.256106581140045,26.9999999999999,4.22642716399813,5.27740176130729
"6","elevated","LATR","lf","0",4.57136332152651,0.256106581140045,27.0000000000001,4.04587602287193,5.09685062018109
"7","ambient","LYAN","lf","0",5.08480141919428,0.256106581140045,27.0000000000001,4.5593141205397,5.61028871784886
"8","elevated","LYAN","lf","0",4.62413409427382,0.256106581140045,27.0000000000001,4.09864679561924,5.1496213929284
"9","ambient","LATR","hf","20",5.58132667865822,0.256106581140045,26.9999999999999,5.05583938000364,6.1068139773128
"10","elevated","LATR","hf","20",5.17118105153506,0.256106581140045,27.0000000000001,4.64569375288048,5.69666835018964
"11","ambient","LYAN","hf","20",5.36810113764258,0.321138356767746,27.0000000000002,4.70917965721419,6.02702261807098
"12","elevated","LYAN","hf","20",5.38000893934745,0.321459334715704,27.0000000000001,4.72042886657032,6.03958901212458
"13","ambient","LATR","lf","20",4.63493015530198,0.256106581140045,27.0000000000002,4.1094428566474,5.16041745395655
"14","elevated","LATR","lf","20",3.34949221429143,0.256106581140044,27.0000000000002,2.82400491563686,3.87497951294601
"15","ambient","LYAN","lf","20",4.40702384437409,0.321138356767746,27.0000000000002,3.74810236394569,5.06594532480248
"16","elevated","LYAN","lf","20",4.18178225340273,0.321459334715704,27.0000000000007,3.5222021806256,4.84136232617987
