"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",3.56383580446602,0.259597239967241,28.0000000000007,3.03207496412679,4.09559664480525
"2","elevated","LATR","hf","0",3.47818431901733,0.259597239967239,27.9999999999997,2.9464234786781,4.00994515935655
"3","ambient","LYAN","hf","0",3.83483911147682,0.32589777866853,27.9999999999998,3.167267774157,4.50241044879665
"4","elevated","LYAN","hf","0",3.43336752346419,0.25959723996724,28.0000000000001,2.90160668312496,3.96512836380342
"5","ambient","LATR","lf","0",2.16498752581097,0.25959723996724,27.9999999999998,1.63322668547175,2.6967483661502
"6","elevated","LATR","lf","0",1.9509997320727,0.25959723996724,28.0000000000001,1.41923889173347,2.48276057241193
"7","ambient","LYAN","lf","0",2.56101847493925,0.25959723996724,28,2.02925763460002,3.09277931527848
"8","elevated","LYAN","lf","0",2.02186606409773,0.25959723996724,27.9999999999998,1.4901052237585,2.55362690443696
"9","ambient","LATR","hf","20",3.4013669557295,0.25959723996724,27.9999999999997,2.86960611539027,3.93312779606872
"10","elevated","LATR","hf","20",3.00819201035213,0.25959723996724,28,2.4764311700129,3.53995285069136
"11","ambient","LYAN","hf","20",3.09413717789001,0.324989562006265,28,2.42842623806747,3.75984811771255
"12","elevated","LYAN","hf","20",3.291331789684,0.25959723996724,28.0000000000001,2.75957094934477,3.82309263002323
"13","ambient","LATR","lf","20",2.06892791862134,0.259597239967239,28.0000000000001,1.53716707828211,2.60068875896057
"14","elevated","LATR","lf","20",0.845038371082063,0.25959723996724,28,0.313277530742836,1.37679921142129
"15","ambient","LYAN","lf","20",2.00397166003479,0.324989562006265,28,1.33826072021225,2.66968259985733
"16","elevated","LYAN","lf","20",1.77275068144692,0.326501852919378,27.9999999999999,1.10394195411749,2.44155940877636
