"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",0.589178452189213,0.256106581140047,27.0000000000005,0.0636911535346316,1.1146657508438
"2","elevated","LATR","hf","0",0.29793243088001,0.256106581140045,26.9999999999998,-0.227554867774569,0.823419729534588
"3","ambient","LYAN","hf","0",0.814865611983098,0.322100331034621,27,0.153970323397861,1.47576090056834
"4","elevated","LYAN","hf","0",0.480389963113284,0.256106581140046,27.0000000000001,-0.0450973355412954,1.00587726176786
"5","ambient","LATR","lf","0",-0.385059086623828,0.256106581140045,26.9999999999999,-0.910546385278408,0.140428212030751
"6","elevated","LATR","lf","0",-0.565610227750027,0.256106581140045,27.0000000000001,-1.09109752640461,-0.0401229290954488
"7","ambient","LYAN","lf","0",-0.052172130082253,0.256106581140045,27.0000000000001,-0.577659428736832,0.473315168572325
"8","elevated","LYAN","lf","0",-0.512839455002714,0.256106581140045,27.0000000000001,-1.03832675365729,0.012647843651865
"9","ambient","LATR","hf","20",0.571215587265527,0.256106581140045,26.9999999999999,0.0457282886109494,1.09670288592011
"10","elevated","LATR","hf","20",0.161069960142369,0.256106581140045,27.0000000000001,-0.36441733851221,0.686557258796948
"11","ambient","LYAN","hf","20",0.357990046249892,0.321138356767746,27.0000000000002,-0.300931434178502,1.01691152667829
"12","elevated","LYAN","hf","20",0.369897847954757,0.321459334715704,27.0000000000001,-0.289682224822376,1.02947792073189
"13","ambient","LATR","lf","20",-0.375180936090713,0.256106581140045,27.0000000000002,-0.900668234745291,0.150306362563866
"14","elevated","LATR","lf","20",-1.66061887710126,0.256106581140044,27.0000000000002,-2.18610617575583,-1.13513157844668
"15","ambient","LYAN","lf","20",-0.603087247018604,0.321138356767746,27.0000000000002,-1.262008727447,0.0558342334097891
"16","elevated","LYAN","lf","20",-0.828328837989955,0.321459334715704,27.0000000000007,-1.48790891076709,-0.168748765212824
