"","treatment","plant","fraction","depth","emmean","SE","df","lower.CL","upper.CL"
"1","ambient","LATR","hf","0",-1.57313774481052,0.259597239967238,27.9999999999997,-2.10489858514974,-1.04137690447129
"2","elevated","LATR","hf","0",-1.65878923025921,0.25959723996724,28.0000000000003,-2.19055007059844,-1.12702838991998
"3","ambient","LYAN","hf","0",-1.30213443779972,0.32589777866853,28.0000000000004,-1.96970577511954,-0.634563100479897
"4","elevated","LYAN","hf","0",-1.70360602581234,0.259597239967239,27.9999999999999,-2.23536686615157,-1.17184518547311
"5","ambient","LATR","lf","0",-2.97198602346556,0.25959723996724,28.0000000000003,-3.50374686380479,-2.44022518312633
"6","elevated","LATR","lf","0",-3.18597381720384,0.25959723996724,27.9999999999999,-3.71773465754306,-2.65421297686461
"7","ambient","LYAN","lf","0",-2.57595507433728,0.25959723996724,27.9999999999999,-3.10771591467651,-2.04419423399806
"8","elevated","LYAN","lf","0",-3.11510748517881,0.25959723996724,27.9999999999999,-3.64686832551804,-2.58334664483958
"9","ambient","LATR","hf","20",-1.60874413566319,0.259597239967239,28.0000000000002,-2.14050497600242,-1.07698329532397
"10","elevated","LATR","hf","20",-2.00191908104056,0.25959723996724,28.0000000000001,-2.53367992137978,-1.47015824070133
"11","ambient","LYAN","hf","20",-1.91597391350268,0.324989562006265,28,-2.58168485332522,-1.25026297368013
"12","elevated","LYAN","hf","20",-1.71877930170869,0.25959723996724,27.9999999999998,-2.25054014204792,-1.18701846136946
"13","ambient","LATR","lf","20",-2.94118317277135,0.25959723996724,28.0000000000001,-3.47294401311058,-2.40942233243212
"14","elevated","LATR","lf","20",-4.16507272031063,0.25959723996724,27.9999999999999,-4.69683356064985,-3.6333118799714
"15","ambient","LYAN","lf","20",-3.0061394313579,0.324989562006265,28,-3.67185037118044,-2.34042849153535
"16","elevated","LYAN","lf","20",-3.23736040994577,0.326501852919378,27.9999999999997,-3.9061691372752,-2.56855168261633
